bed_infile,bed_infile_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bed_infile,parameters.bed_infile.values,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.winsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
30669,bed,2016-06-18 16:17:17.865884,slurm_normal,1466266829.0,0,1.0,main_w1_handler0,1104862,13199781,False,1192353875,bam,,7384383.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5efb2fbdd1245a3a2'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54e5cdd7c7c760611'}]","""200""",32.0,,30757500,1466266666.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-18 16:20:30.551950,25699.0,163.0
558575,bed,2016-06-29 13:46:38.068459,slurm_normal,1467208651.0,0,1.0,main_w1_handler0,2211498,13287433,False,3113333367,bam,,7482777.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52e17cefc6b04373c'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55637d4d3e5d9d0c6'}]","""145""",32.0,,30743989,1467208090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-29 13:59:11.584437,34556.0,561.0
10216405,bed,2016-03-07 13:54:40.529035,slurm_normal,1457359830.0,0,1.0,main_w1_handler0,2617088,12052068,False,1684338247,bam,,6278230.roundup,slurm,,132112168.0,corral-repl,,23705741,,"""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",23705608,,"""200""",32.0,,28719198,1457358902.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-07 14:10:35.435989,19259.0,928.0
47778,bed,2016-05-15 15:31:11.072081,slurm_normal,1463326496.0,0,1.0,main_w1_handler0,2706623,12902711,False,1215736285,bam,,7097947.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf1c8c450d3384dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a15559539218a71e'}]","""200""",32.0,,29445865,1463326307.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-15 15:34:57.632508,81993.0,189.0
45829,bed,2016-05-15 15:31:27.066387,slurm_normal,1463326526.0,0,1.0,main_w2_handler1,2706623,12902712,False,1233788200,bam,,7097948.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dea18b65e8fa7a39'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b559130886094d1728'}]","""200""",32.0,,29445865,1463326323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-15 15:35:29.409976,81993.0,203.0
112121,bed,2016-05-15 15:31:47.020568,slurm_normal,1463326422.0,0,1.0,main_w1_handler0,2706623,12902713,False,512010195,bam,,7097949.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56318067cd13349b0'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dccb8b2e8188010e'}]","""200""",32.0,,29445865,1463326331.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-15 15:33:46.696575,81993.0,91.0
32507,bed,2016-05-15 15:37:17.945881,slurm_normal,1463326877.0,0,1.0,main_w1_handler0,2706623,12902751,False,1410118592,bam,,7097972.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b596790f8e6d4e971f'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b512832495399eb9ba'}]","""200""",32.0,,29445865,1463326670.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-15 15:41:20.217496,81993.0,207.0
20612559,bed,2016-04-19 14:08:05.174734,slurm_normal,1461075405.0,0,1.0,main_w1_handler2,2456123,12523405,False,413166075,bam,,6710157.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ef5d34a89d04c22e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce7cefdfdd1b6f03'}]","""200""",32.0,,29678997,1461074939.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-19 14:16:48.134388,32309.0,466.0
20612559,bed,2016-04-19 14:08:06.339919,slurm_normal,1461075538.0,0,1.0,main_w2_handler1,2456123,12523407,False,574034875,bam,,6710160.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ef5d34a89d04c22e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b535cc736a5d119329'}]","""200""",32.0,,29678997,1461074939.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-19 14:19:03.685803,32309.0,599.0
3473755,bed,2016-04-20 09:04:40.751036,slurm_normal,1461148377.0,0,1.0,main_w2_handler0,2675765,12533133,False,1047534851,bam,,6721403.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cd7aae5032360ca6'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ee751bad7929dcbc'}]","""200""",32.0,,29638907,1461148010.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-20 10:33:02.350900,42102.0,367.0
1054110,bed,2016-04-20 00:31:53.112723,slurm_normal,1461113751.0,0,1.0,main_w1_handler2,2674501,12530347,False,1287306874,bed,,6717716.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53939d9cdd4102062'}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ea39803bb57fa3f3'}]","""200""",32.0,,29173559,1461113460.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-20 00:55:54.133497,81324.0,291.0
3488215,bed,2016-09-23 15:37:35.146172,slurm_normal,1474652499.0,0,1.0,main_w3_handler0,2807142,13926424,False,2793608918,bed,,8149448.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5448029af9a5cd416'}]","""50""",32.0,,32691252,1474651221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-23 17:41:44.313043,62135.0,1278.0
2209651,bed,2016-09-23 15:38:01.008647,slurm_normal,1474655167.0,0,1.0,main_w4_handler0,2807142,13926427,False,2612070617,bed,,8149692.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fa95844f74f461e3'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5822569b789e61ee1'}]","""50""",32.0,,32691252,1474653507.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-23 18:26:13.051164,62135.0,1660.0
2093063,bed,2016-09-24 08:10:10.632240,slurm_normal,1474706232.0,0,1.0,main_w3_handler0,2807142,13930667,False,2088919476,bam,,8153122.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57b277477bc7ba080'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""200""",32.0,,33035132,1474704765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 08:37:14.545539,62135.0,1467.0
2666365,bed,2016-09-24 09:20:43.004148,slurm_normal,1474710185.0,0,1.0,main_w4_handler0,2807142,13930930,False,2088919476,bam,,8153364.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52a82e25e3092241b'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""200""",32.0,,33035132,1474708902.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 09:43:07.973775,62135.0,1283.0
3488215,bed,2016-09-25 07:22:17.054524,slurm_normal,1474789075.0,0,1.0,main_w4_handler0,2807142,13935074,False,2088919476,bam,,8157623.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""200""",32.0,,33035132,1474788255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-25 07:37:56.496564,62135.0,820.0
3488215,bed,2016-09-25 08:11:41.444084,slurm_normal,1474791964.0,0,1.0,main_w4_handler1,2807142,13935165,False,2088919476,bam,,8157707.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""50""",32.0,,33035132,1474791179.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-25 08:26:05.714972,62135.0,785.0
3891975,bed,2016-09-24 09:20:26.027418,slurm_normal,1474710565.0,0,1.0,main_w3_handler0,2807142,13930929,False,1895909441,bam,,8153361.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e40d5ee6345a71e2'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be21e19722308ac3'}]","""200""",32.0,,33035132,1474708889.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 09:49:29.264194,62135.0,1676.0
3488215,bed,2016-09-24 12:27:11.365225,slurm_normal,1474720887.0,0,1.0,main_w4_handler1,2807142,13931545,False,2088919476,bam,,8154024.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""50""",32.0,,33035132,1474720102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 12:41:29.156006,62135.0,785.0
3488215,bed,2016-09-24 12:26:42.801462,slurm_normal,1474720931.0,0,1.0,main_w4_handler1,2807142,13931542,False,2088919476,bam,,8154021.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""200""",32.0,,33035132,1474720066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 12:42:13.364504,62135.0,865.0
40268,bed,2016-06-14 17:53:15.045256,slurm_normal,1465926938.0,0,1.0,main_w2_handler0,1104862,13161979,False,532941923,bam,,7346018.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3e3fc8536942225'}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f92af23521f5181'}]","""200""",32.0,,30757500,1465926824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-14 17:55:40.946618,25699.0,114.0
178610,bed,2016-06-16 16:56:26.265261,slurm_normal,1466096343.0,0,1.0,main_w2_handler1,1104862,13185939,False,532941923,bam,,7370483.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f23be7ead06b3553'}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f92af23521f5181'}]","""100""",32.0,,30757500,1466096201.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-16 16:59:05.030207,25699.0,142.0
178610,bed,2016-06-16 16:50:50.628982,slurm_normal,1466096035.0,0,1.0,main_w1_handler1,1104862,13185825,False,532941923,bam,,7370335.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f23be7ead06b3553'}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f92af23521f5181'}]","""200""",32.0,,30757500,1466095898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-16 16:53:58.563024,25699.0,137.0
496942,bed,2016-08-25 14:35:15.530073,slurm_normal,1472135955.0,0,1.0,main_w3_handler1,2794346,13718046,False,956929956,bam,,7935045.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5444fd2770f3400bf'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""5.0""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc4d1511b309e8ee'}]","""200""",32.0,,31656448,1472135731.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-08-25 14:39:16.849726,83068.0,224.0
47244,bed,2016-08-30 23:33:03.335295,slurm_normal,1472606682.0,0,1.0,main_w3_handler0,2806470,13751639,False,62985613,bam,,7972382.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e38a046e38b64115'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55383b0e3e99fc12c'}]","""200""",32.0,,32088976,1472600041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-08-31 01:24:43.570264,67966.0,6641.0
2199870,bed,2016-09-30 20:43:07.102634,slurm_normal,1475269433.0,0,1.0,main_w4_handler0,2807142,13985149,False,1796901341,bam,,8204677.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d51916983a5fee07'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58044d06ad4f9208c'}]","""50""",32.0,,33035132,1475268238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-30 21:03:56.034770,62135.0,1195.0
2199870,bed,2016-09-30 20:42:48.365049,slurm_normal,1475270482.0,0,1.0,main_w4_handler1,2807142,13985146,False,1796901341,bam,,8204675.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d51916983a5fee07'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58044d06ad4f9208c'}]","""200""",32.0,,33035132,1475268236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-30 21:21:31.951595,62135.0,2246.0
4280495,bed,2016-10-02 13:28:48.196914,slurm_normal,1475415369.0,0,1.0,main_w3_handler1,2835334,13990560,False,1558617492,bed,,8210018.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac3b76cd7ae03bf3'}]","""/galaxy-repl/localdata/chrom/danRer10.len""","""5.0""","""danRer10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5289691534c808035'}]","""200""",32.0,,33400245,1475415052.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-02 13:36:10.842330,90250.0,317.0
2792277,bed,2017-01-11 18:44:05.385075,slurm_normal,1484160633.0,0,1.0,main_w3_handler0,2804823,14742554,False,1842951844,bam,,8907322.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 26815121}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 26298322}]","""200""",32.0,,35324709,1484160250.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-11 18:50:37.249785,89184.0,383.0
887808,bed,2016-10-03 13:40:31.665736,slurm_normal,1475503809.0,0,1.0,main_w4_handler1,2807142,13996245,False,1059575007,bam,,8215624.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bb4f21c3cd9c6c5b'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5603373e0b84187eb'}]","""200""",32.0,,33035132,1475503140.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-03 14:10:13.028081,62135.0,669.0
56009,bed,2017-01-11 21:40:06.077275,slurm_normal,1484171138.0,0,1.0,main_w3_handler0,2804823,14744115,False,1842951844,bam,,8908803.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27897511}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 26298322}]","""200""",32.0,,35331076,1484170835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-11 21:45:40.662119,89184.0,303.0
72100,bed,2017-01-11 21:43:51.923429,slurm_normal,1484171436.0,0,1.0,main_w3_handler1,2804823,14744136,False,1842951844,bam,,8908827.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27897426}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 26298322}]","""200""",32.0,,35331076,1484171037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-11 21:50:39.818561,89184.0,399.0
