create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.breaks,parameters.chromInfo,parameters.dbkey,parameters.density,parameters.frequency,parameters.input,parameters.numerical_column,parameters.title,parameters.xlab,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-11-09 10:48:53.248370,slurm_normal,,main_w2_handler0,2499337,10851541,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14371115614,sam,5105762.roundup,slurm,,corral-repl,,"""10""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""True""",21922828,"""5""","""Histogram""","""V1""",,26165404,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-11-09 10:58:20.035967,50472,566.787597
2015-08-14 09:21:30.690225,slurm_normal,,main_w1_handler2,2072123,10116823,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",131759421,wig,4389796.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""False""",20759209,"""1""","""Histogram""","""V1""",,24684232,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-08-14 09:35:15.806673,53709,825.1164480000001
2015-08-14 10:09:29.954550,slurm_normal,,main_w2_handler1,2072123,10116935,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",131759421,wig,4389970.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""False""",20759209,"""1""","""Histogram""","""V1""",,24684232,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-08-14 10:23:20.416002,53709,830.461452
2015-04-02 09:35:57.093008,slurm_normal,,main_w2_handler0,2257871,9122752,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2118683315,bed,3407657.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""True""","""False""",19119826,"""4""","""Histogram""","""V1""",,21420732,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-04-02 09:45:29.145338,14166,572.05233
2015-12-01 23:33:09.805718,slurm_normal,,main_w1_handler0,2488471,11058764,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2980153349,tabular,5312605.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""True""","""False""",22244377,"""2""","""Histogram""","""length""",,26526300,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-12-01 23:49:37.929369,53894,988.1236510000001
2015-08-14 23:27:22.917408,slurm_normal,,main_w2_handler1,2403753,10122780,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4821735426,tabular,4395560.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""",20779766,"""4""","""Histogram""","""V1""",,23980702,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-08-14 23:37:50.716700,20517,627.799292
2015-06-07 16:56:33.463779,slurm_normal,,main_w1_handler1,2319532,9610536,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7935878462,bedgraph,3921575.roundup,slurm,,corral-repl,,"""20""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""True""",19936686,"""4""","""Histogram""","""V1""",,23461329,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-06-07 17:06:36.048977,64114,602.585198
2015-06-26 10:11:07.485068,slurm_normal,,main_w1_handler1,2355291,9738816,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14556001350,sam,4044480,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""True""",20144265,"""9""","""Histogram""","""V1""",,22322249,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-06-26 10:29:22.691185,52382,1095.2061170000002
2015-12-01 23:31:20.435260,slurm_normal,,main_w1_handler0,2488516,11058754,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2743422007,tabular,5312595.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""True""","""False""",22244502,"""2""","""Histogram""","""V1""",,26526300,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-12-01 23:49:10.539331,53894,1070.104071
2015-12-02 17:09:52.679088,slurm_normal,,main_w1_handler0,2489541,11067428,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3866449675,tabular,5319977.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""",22244506,"""2""","""Histogram""","""length""",,26540485,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-12-02 17:21:44.824267,53894,712.1451790000001
2015-12-01 23:31:03.005831,slurm_normal,,main_w2_handler0,2489541,11058752,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3866449675,tabular,5312594.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",22244506,"""2""","""Histogram""","""V1""",,26526300,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-12-01 23:41:57.721457,53894,654.715626
2015-12-01 23:13:24.196289,slurm_normal,,main_w1_handler1,2488471,11058675,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2980153349,tabular,5312503.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""True""","""False""",22244377,"""2""","""Histogram""","""length""",,26526300,error,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-12-01 23:32:26.452608,53894,1142.256319
