create_time,destination_id,exit_code,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.infile,parameters.infile.values,parameters.keep_dup_options.__current_case__,parameters.keep_dup_options.keep_dup_options_selector,parameters.pvalue,parameters.tsize,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-30 22:20:11.794121,slurm_normal,,main_w1_handler1,2006311,12290890,False,2034327659,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495697.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071946,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 23:54:03.061123,42372,5631.2670020000005
2016-03-30 22:20:18.209330,slurm_normal,,main_w1_handler1,2006311,12290895,False,151620061,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495902.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071979,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:10:44.772720,42372,6626.56339
2016-03-30 22:20:15.654001,slurm_normal,,main_w1_handler1,2006311,12290893,False,605500918,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495459.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071975,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 23:26:56.380098,42372,4000.726097
2016-04-23 06:22:49.957189,slurm_normal,,main_w1_handler2,2006311,12580355,False,986731034,bed,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6779781.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5859a54eaf5b1850e'}]",1,1,"""1e-5""","""125.0""",,29753732,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-23 06:23:29.133117,42372,39.175928
2016-03-31 00:12:56.723888,slurm_normal,,main_w1_handler0,2006311,12291299,False,530523594,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6496038.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071974,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:28:13.788919,42372,917.0650310000001
2016-03-31 00:13:00.331179,slurm_normal,,main_w2_handler1,2006311,12291301,False,136239112,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6496185.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071978,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:42:53.493924,42372,1793.162745
2016-03-30 23:37:11.005853,slurm_normal,,main_w1_handler0,2006311,12291236,False,605500918,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495882.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071975,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:08:30.342029,42372,1879.336176
2016-03-30 22:20:12.716213,slurm_normal,,main_w2_handler0,2006311,12290891,False,2064196335,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495659.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071947,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 23:49:20.972000,42372,5348.255787
2016-03-31 00:13:01.584024,slurm_normal,,main_w1_handler0,2006311,12291302,False,151620061,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6496182.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071979,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:41:35.604767,42372,1714.020743
2016-04-01 00:21:20.022308,slurm_normal,,main_w1_handler1,2006311,12305880,False,580653778,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6513821.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24074949,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-01 00:22:48.432469,42372,88.410161
2016-03-31 00:12:53.537571,slurm_normal,,main_w2_handler1,2006311,12291298,False,2064196335,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6496035.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071947,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:31:06.619346,42372,1093.081775
2016-04-23 06:22:51.151993,slurm_normal,,main_w1_handler0,2006311,12580358,False,218268915,bed,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6779780.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5df6a282d6fb7f471'}]",1,1,"""1e-5""","""125.0""",,29753732,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-23 06:23:29.149824,42372,37.997831000000005
2016-04-23 06:22:50.330112,slurm_normal,,main_w1_handler0,2006311,12580356,False,559155838,bed,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6779778.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56d1284b8977bb7ad'}]",1,1,"""1e-5""","""125.0""",,29753732,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-23 06:23:41.155547,42372,50.825435000000006
2016-03-30 22:20:14.279461,slurm_normal,,main_w1_handler2,2006311,12290892,False,530523594,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495429.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071974,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 23:24:02.659668,42372,3828.380207
2016-03-31 00:12:51.116989,slurm_normal,,main_w1_handler2,2006311,12291297,False,2034327659,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6496031.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071946,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:30:47.817462,42372,1076.700473
2016-04-02 17:27:23.882503,slurm_normal,,main_w1_handler1,2006311,12320865,False,346532267,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6527734.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24114587,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-02 17:28:50.995396,42372,87.112893
2016-03-30 22:20:17.341980,slurm_normal,,main_w1_handler1,2006311,12290894,False,136239112,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495744.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071978,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 23:55:49.970615,42372,5732.628635
2016-03-31 00:12:59.025296,slurm_normal,,main_w2_handler0,2006311,12291300,False,605500918,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6496151.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071975,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:38:03.879358,42372,1504.854062
2016-03-30 23:37:36.097478,slurm_normal,,main_w2_handler0,2006311,12291237,False,530523594,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6495836.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,24071974,,1,1,"""1e-5""","""-1.0""",,28464437,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-31 00:03:50.949146,42372,1574.851668
2016-04-23 06:22:51.454326,slurm_normal,,main_w1_handler2,2006311,12580359,False,1849830015,bed,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6779782.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,2451960000,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59f07652465b9d679'}]",1,1,"""1e-5""","""125.0""",,29753732,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-23 06:23:29.315997,42372,37.861671
